ET,SA,SR,IA,FZ,V,P ,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
s,rad,-,rad,N,m/s,Pa,m,1/m,N,N,Nm,Nm,Nm,m,m,m,m
0,0.210059458,-1.019068816,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-50.02501315,-2634.436965,39.2595132,0,-4.281614155,1004.363275,0.18360025,0,0
0,0.21358453,-1.021541869,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-37.75606404,-2614.687119,39.05305661,0,0.945071915,1518.311089,0.183224527,0,0
0,-0.212101519,-0.999744134,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-0.854356183,2047.454065,-29.79127765,0,3.813444853,-785.3445139,0.190629737,0,0
0,-0.20435401,-0.998295002,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,8.587314103,2053.904489,-30.01023871,0,7.698698636,-270.4878812,0.19092049,0,0
0,-0.201717994,-1.000474429,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-28.03609328,2044.584458,-29.88577785,0,-9.37305071,-1539.43433,0.190502899,0,0
0,-0.194808169,-0.996616131,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-26.86841849,2054.216657,-30.25055605,0,-10.22685614,-63.28087405,0.191262618,0,0
0,-0.188403319,-0.993875265,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-13.22204996,2057.001802,-29.9971273,0,-3.137855485,-615.4004379,0.191812159,0,0
0,-0.185287809,-0.996377605,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-21.30225244,2066.196103,-30.5675686,0,-11.05110145,610.0211202,0.191347071,0,0
0,-0.178450261,-0.992594034,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-31.37561593,2068.753171,-30.37882155,0,-14.84424531,-1919.179761,0.192098989,0,0
0,-0.172427378,-0.994432049,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-15.84461448,2061.01069,-30.1305066,0,-7.5823356,-10.92207646,0.191749814,0,0
0,-0.168423908,-0.98656209,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-18.01863314,2096.097754,-29.98502264,0,-12.44583386,-32.65780478,0.193300469,0,0
0,-0.162212211,-0.988228994,0.000100195,-882.5619422,11.16598502,84052.24719,0,0,-29.53388706,2083.648814,-30.51409536,0,-16.42921161,-819.3315563,0.193025357,0,0
