RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,FY
25,12,0,-246.9,-6.264,16.1,414.43,A2356raw14.mat_Line1611,585.550895996018
25,12,0,-245.55,-6.353,16.11,411.03,A2356raw14.mat_Line1612,581.971360798748
25,12,0,-231.37,-6.41,16.12,492.1,A2356raw15.mat_Line1613,545.565832685952
25,12,0,-241.71,-6.508,16.13,395.86,A2356raw14.mat_Line1614,571.929433930138
25,12,0,-234.86,-6.569,16.14,500.28,A2356raw15.mat_Line1615,554.318721946232
25,12,0,-237.2,-6.658,16.15,506.48,A2356raw15.mat_Line1616,560.217448620596
25,12,-0,-241.41,-6.757,16.16,391.84,A2356raw14.mat_Line1617,570.912630135944
25,12,0,-242.7,-6.828,16.17,397.7,A2356raw14.mat_Line1618,574.15737749258
25,12,0,-244.91,-6.896,16.18,404.98,A2356raw14.mat_Line1619,579.773686116007
25,12,0,-238.04,-6.976,16.19,514.69,A2356raw15.mat_Line1620,562.075832141743
25,12,0,-248.24,-7.062,16.2,415.04,A2356raw14.mat_Line1621,588.194400381804
25,12,0,-247.98,-7.135,16.21,414.73,A2356raw14.mat_Line1622,587.459531439984
25,12,0,-246.31,-7.221,16.22,410.25,A2356raw14.mat_Line1623,583.085810324169
25,12,0,-245.02,-7.299,16.23,402.5,A2356raw14.mat_Line1624,579.703180318987
25,12,0,-242.93,-7.384,16.24,393.99,A2356raw14.mat_Line1625,574.266650118021
25,12,0,-241.11,-7.468,16.25,387.33,A2356raw14.mat_Line1626,569.53345975257
25,12,0,-240.63,-7.529,16.26,385.77,A2356raw14.mat_Line1627,568.256965416414
25,12,0,-241.69,-7.616,16.27,388.55,A2356raw14.mat_Line1628,570.907660164622
25,12,0,-243.63,-7.695,16.28,394.75,A2356raw14.mat_Line1629,575.824498254129
25,12,0,-244.85,-7.778,16.29,402.8,A2356raw14.mat_Line1630,578.895664220259
25,12,0,-246.78,-7.859,16.3,410.09,A2356raw14.mat_Line1631,583.796371160531
25,12,0,-247.81,-7.935,16.31,414.73,A2356raw14.mat_Line1632,586.391214733987
25,12,0,-247.54,-8.03,16.32,414.43,A2356raw14.mat_Line1633,585.630534167698
25,12,0,-247.34,-8.097,16.33,409.63,A2356raw14.mat_Line1634,585.070574383482
25,12,0,-245.78,-8.18,16.34,400.95,A2356raw14.mat_Line1635,581.006719314902
25,12,0,-244.27,-8.267,16.35,391.66,A2356raw14.mat_Line1636,577.074811447655
25,12,0,-242.91,-8.355,16.36,384.05,A2356raw14.mat_Line1637,573.532667793807
25,12,0,-242.66,-8.428,16.37,381.57,A2356raw14.mat_Line1638,572.847356669663
25,12,0,-243.24,-8.518,16.38,384.36,A2356raw14.mat_Line1639,574.279332119162
25,12,0,-244.5,-8.588,16.39,391.33,A2356raw14.mat_Line1640,577.467972732418
25,12,0,-245.23,-8.667,16.4,400.78,A2356raw14.mat_Line1641,579.294247371931
25,12,0,-246.74,-8.746,16.41,410.09,A2356raw14.mat_Line1642,583.124446781865
25,12,0,-247.69,-8.836,16.42,416.92,A2356raw14.mat_Line1643,585.513364478847
25,12,0,-246.95,-8.915,16.43,418.15,A2356raw14.mat_Line1644,583.568424723622
25,12,0,-246.26,-9.002,16.44,413.36,A2356raw14.mat_Line1645,581.749552052834
25,12,-0,-245.01,-9.079,16.45,404.22,A2356raw14.mat_Line1646,578.501919102959
